file,lat,lon,me
data\obs_vs_mod\horaire\lat_43.156667_lon_-0.613333_me_-0.01.parquet,43.156667,-0.613333,-0.01
data\obs_vs_mod\horaire\lat_43.1595_lon_-0.5795_me_-0.00.parquet,43.1595,-0.5795,-0.0
data\obs_vs_mod\horaire\lat_43.166667_lon_-0.558333_me_0.00.parquet,43.166667,-0.558333,0.0
data\obs_vs_mod\horaire\lat_43.167333_lon_-1.2145_me_0.01.parquet,43.167333,-1.2145,0.01
data\obs_vs_mod\horaire\lat_43.173_lon_2.728833_me_-0.01.parquet,43.173,2.728833,-0.01
data\obs_vs_mod\horaire\lat_43.179167_lon_3.019167_me_0.00.parquet,43.179167,3.019167,0.0
data\obs_vs_mod\horaire\lat_43.184_lon_5.770167_me_0.00.parquet,43.184,5.770167,0.0
data\obs_vs_mod\horaire\lat_43.188_lon_0.0_me_0.01.parquet,43.188,0.0,0.01
data\obs_vs_mod\horaire\lat_43.192167_lon_1.6435_me_0.01.parquet,43.192167,1.6435,0.01
data\obs_vs_mod\horaire\lat_43.195167_lon_6.379333_me_-0.01.parquet,43.195167,6.379333,-0.01
data\obs_vs_mod\horaire\lat_43.202_lon_2.07_me_0.01.parquet,43.202,2.07,0.01
data\obs_vs_mod\horaire\lat_43.215333_lon_2.2955_me_0.00.parquet,43.215333,2.2955,0.0
data\obs_vs_mod\horaire\lat_43.222167_lon_5.503167_me_-0.00.parquet,43.222167,5.503167,-0.0
data\obs_vs_mod\horaire\lat_43.226667_lon_1.663333_me_0.01.parquet,43.226667,1.663333,0.01
data\obs_vs_mod\horaire\lat_43.232167_lon_6.258_me_-0.00.parquet,43.232167,6.258,-0.0
data\obs_vs_mod\horaire\lat_43.238333_lon_-0.083833_me_-0.01.parquet,43.238333,-0.083833,-0.01
data\obs_vs_mod\horaire\lat_43.2395_lon_6.085833_me_-0.01.parquet,43.2395,6.085833,-0.01
data\obs_vs_mod\horaire\lat_43.247667_lon_6.131333_me_-0.01.parquet,43.247667,6.131333,-0.01
data\obs_vs_mod\horaire\lat_43.252167_lon_5.784667_me_0.01.parquet,43.252167,5.784667,0.01
data\obs_vs_mod\horaire\lat_43.255667_lon_5.38_me_-0.00.parquet,43.255667,5.38,-0.0
data\obs_vs_mod\horaire\lat_43.261667_lon_6.510333_me_-0.02.parquet,43.261667,6.510333,-0.02
data\obs_vs_mod\horaire\lat_43.263333_lon_5.29_me_0.01.parquet,43.263333,5.29,0.01
data\obs_vs_mod\horaire\lat_43.271667_lon_6.648333_me_-0.01.parquet,43.271667,6.648333,-0.01
data\obs_vs_mod\horaire\lat_43.277833_lon_0.5175_me_0.00.parquet,43.277833,0.5175,0.0
data\obs_vs_mod\horaire\lat_43.288333_lon_5.618333_me_0.01.parquet,43.288333,5.618333,0.01
data\obs_vs_mod\horaire\lat_43.291667_lon_5.556667_me_-0.02.parquet,43.291667,5.556667,-0.02
data\obs_vs_mod\horaire\lat_43.298333_lon_2.756667_me_0.01.parquet,43.298333,2.756667,0.01
data\obs_vs_mod\horaire\lat_43.2_lon_1.05_me_0.01.parquet,43.2,1.05,0.01
data\obs_vs_mod\horaire\lat_43.301667_lon_-0.383333_me_0.01.parquet,43.301667,-0.383333,0.01
data\obs_vs_mod\horaire\lat_43.305333_lon_1.949167_me_0.01.parquet,43.305333,1.949167,0.01
data\obs_vs_mod\horaire\lat_43.305667_lon_5.394333_me_0.00.parquet,43.305667,5.394333,0.0
data\obs_vs_mod\horaire\lat_43.307333_lon_5.601167_me_0.00.parquet,43.307333,5.601167,0.0
data\obs_vs_mod\horaire\lat_43.316667_lon_5.708333_me_0.01.parquet,43.316667,5.708333,0.01
