lat,lon,altitude
41.9521,8.6606,345.7
41.951,8.6907,511.4
41.9499,8.7208,222.9
41.9488,8.7509,80.6
41.9477,8.781,79.8
41.9466,8.8112,31.1
41.9454,8.8413,110.4
41.9443,8.8714,416.5
41.9431,8.9015,222.7
41.942,8.9316,325.7
41.9408,8.9617,499.5
41.9396,8.9918,683.4
41.9384,9.0219,1224.1
41.9373,9.052,1226.9
41.936,9.0821,1108.0
41.9348,9.1122,743.7
41.9336,9.1423,707.7
41.9324,9.1724,1074.8
41.9311,9.2025,1523.9
41.9299,9.2325,1230.4
41.9286,9.2626,613.2
41.9274,9.2927,420.8
41.9261,9.3228,272.5
41.9248,9.3529,181.3
41.9235,9.383,40.6
41.9745,8.6621,27.7
41.9734,8.6922,193.0
41.9723,8.7223,224.7
41.9712,8.7524,315.2
41.9701,8.7826,105.8
41.969,8.8127,62.6
41.9678,8.8428,124.3
41.9667,8.8729,539.7
41.9655,8.903,614.8
41.9644,8.9331,698.9
41.9632,8.9633,631.9
41.962,8.9934,720.2
41.9608,9.0235,928.5
41.9596,9.0536,1082.2
41.9584,9.0837,1268.7
41.9572,9.1138,1165.2
41.956,9.1439,972.5
41.9548,9.174,872.7
41.9535,9.2041,1308.4
41.9523,9.2342,1312.5
41.951,9.2643,824.6
41.9498,9.2944,754.2
41.9485,9.3245,559.9
41.9472,9.3546,293.3
41.9459,9.3847,43.7
41.9958,8.6937,98.6
41.9947,8.7238,218.3
41.9936,8.7539,244.4
41.9925,8.7841,182.7
41.9914,8.8142,159.4
41.9902,8.8443,95.4
41.9891,8.8745,222.3
41.9879,8.9046,532.8
41.9868,8.9347,921.7
41.9856,8.9648,1044.5
41.9844,8.995,849.9
41.9832,9.0251,795.4
41.982,9.0552,1066.8
41.9808,9.0853,1317.5
41.9796,9.1155,1533.0
41.9784,9.1456,1450.0
41.9772,9.1757,962.2
41.9759,9.2058,1253.4
41.9747,9.2359,1265.6
41.9734,9.266,633.9
41.9722,9.2961,452.4
41.9709,9.3263,413.7
41.9696,9.3564,191.3
41.9683,9.3865,26.9
42.0182,8.6952,104.0
42.0171,8.7253,261.8
42.016,8.7554,418.6
42.0149,8.7856,596.5
42.0138,8.8157,386.6
42.0126,8.8459,199.7
42.0115,8.876,211.0
42.0103,8.9062,287.7
42.0092,8.9363,704.1
42.008,8.9664,1174.9
42.0068,8.9966,1136.3
42.0056,9.0267,842.1
42.0044,9.0568,903.8
42.0032,9.087,1109.7
