NUM_POSTE,lat,lon,altitude
00000063,43.731667,5.176667,113
00000064,48.352667,-0.4715,260
00000065,45.668333,3.258333,461
00000066,45.7375,0.3865,79
00000067,49.092833,3.070333,62
00000068,50.485333,1.765833,21
00000069,44.983333,2.166667,440
00000070,48.411667,7.276667,1069
00000071,48.816667,4.233333,135
00000072,43.778,1.971,176
00000073,46.33,1.547,334
00000074,45.907667,5.017167,275
00000075,47.572,1.3375,69
00000076,44.295167,-0.2605,96
00000077,42.076,8.8025,353
00000078,44.0195,3.6265,485
00000079,42.803333,2.23,415
00000080,47.799833,2.676,148
00000081,45.061167,2.419333,760
00000082,44.343333,-0.868333,60
00000083,43.1005,6.147,2
00000084,43.706667,2.69,820
00000085,43.441667,1.881167,330
00000086,48.766667,7.305833,377
00000087,42.167667,8.827333,339
00000088,45.268333,3.998667,603
00000089,47.767333,5.713333,362
00000090,43.292333,1.284167,257
00000091,47.898833,-1.035167,60
00000092,50.571667,1.836667,57
00000093,46.3275,3.449167,280
00000094,46.086667,2.045,453
00000095,46.143333,-0.218333,64
00000096,43.39,2.003333,320
00000097,43.951167,2.503,230
00000098,45.9735,3.193,348
00000099,48.083333,0.55,108
00000100,47.945667,5.737333,326
00000101,47.955333,-4.263,80
00000102,44.073333,3.977667,139
00000103,49.757667,2.370167,97
00000104,44.798333,1.219667,165
00000105,45.088167,2.583333,1000
00000106,45.899833,2.01,559
00000107,43.521333,6.252167,279
00000108,45.713333,-0.351667,68
00000109,48.816667,7.833333,140
00000110,46.18,4.665,330
00000111,47.682833,3.949,266
00000112,43.618333,3.858333,45
00000113,46.117667,3.089167,310
00000114,46.9055,2.557833,167
00000115,43.909833,1.680167,190
00000116,50.601667,2.098333,72
00000117,44.833333,5.266667,550
00000118,44.418333,-0.67,75
00000119,44.1185,-1.0615,65
00000120,47.006833,5.088833,203
00000121,43.988333,3.57,1000
00000122,49.360333,3.062833,120
00000123,47.321667,5.035,269
00000124,44.405,6.761667,1510
00000125,45.495,1.063333,274
00000126,44.271667,0.025,92
00000127,42.681667,2.793333,73
00000128,43.612667,6.724167,240
00000129,46.786667,-0.833333,260
00000130,42.430667,9.340833,780
00000131,45.831667,1.268333,250
00000132,43.761667,5.75,275
00000133,46.225667,0.678833,110
00000134,46.989167,5.903333,465
00000135,48.486167,3.538833,78
00000136,48.186833,-2.063833,83
00000137,45.472,2.595,790
00000138,45.3,5.77,1325
00000139,44.931667,-0.188333,35
00000140,43.931667,4.815,25
00000141,48.496667,2.63,86
00000142,46.768333,-1.053333,82
00000143,45.468333,6.908333,2090
00000144,49.57,3.596667,82
00000145,45.855667,6.608,1080
00000146,44.265667,0.775167,186
00000147,43.013333,1.426667,395
00000148,44.948333,6.676667,1355
00000149,44.86,4.728333,425
00000150,49.733333,3.288333,103
00000151,43.81,4.645,10
00000152,44.935,5.786167,885
00000153,42.7,1.82,2000
00000154,44.74,0.236667,86
00000155,42.523333,2.633333,570
00000156,48.263333,2.903333,145
00000157,45.763333,4.496667,500
00000158,44.516667,3.5,712
00000159,47.408333,4.715,365
00000160,49.872,2.3825,60
00000161,45.544667,2.595667,851
00000162,44.9545,1.020833,112
00000163,44.846667,-0.391667,75
00000164,44.706667,6.608333,904
00000165,43.601667,2.61,670
00000166,49.289833,4.819333,132
00000167,44.516667,3.916667,846
00000168,44.799,-1.141333,9
00000169,46.257167,1.863667,381
00000170,49.9815,3.120333,120
00000171,47.393167,2.201,142
00000172,45.793333,5.47,220
00000173,48.076667,2.991667,159
00000174,44.546667,4.09,400
00000175,45.0455,3.6265,1025
00000176,48.258667,-3.835,163
00000177,46.257833,1.772,390
00000178,46.83,1.705833,162
00000179,48.013333,0.271667,57
00000180,44.681667,1.258333,175
00000181,42.441667,3.165,26
00000182,48.8705,0.832833,186
00000183,45.324667,6.047333,1424
00000184,48.36,7.463333,220
00000185,41.9925,8.719667,317
00000186,42.791667,0.593333,1872
00000187,46.225,5.541667,430
00000188,50.106667,1.835,25
00000189,47.668333,0.393333,52
00000190,43.818833,0.180833,164
00000191,45.658333,3.941667,981
00000192,46.566667,0.65,99
00000193,42.405,2.485,725
00000194,44.498167,0.193333,30
00000195,48.416667,2.565,73
00000196,48.128333,-1.7,53
00000197,48.698333,6.063333,343
00000198,48.616667,5.286667,304
00000199,45.753333,6.403333,425
00000200,48.668333,0.699833,217
00000201,45.641333,5.878,235
00000202,45.551833,2.8125,1220
00000203,43.627333,-1.453333,11
00000204,44.697667,4.649167,212
00000205,47.182833,1.615167,109
00000206,42.81,2.506667,262
00000207,48.391333,-4.0205,157
00000208,45.263333,5.56,740
00000209,46.0335,1.439833,629
00000210,47.6935,2.366167,144
00000211,49.127667,6.831,347
00000212,47.029167,-1.652833,18
00000213,48.563333,3.008333,125
00000214,43.1165,1.618167,295
00000215,47.061667,5.583333,240
00000216,46.580167,0.234833,138
