NUM_POSTE_obs,lat_obs,lon_obs,NUM_POSTE_mod,lat_mod,lon_mod
79202003,46.636833,-0.261,44419,46.6295,-0.245
79211001,46.068333,-0.02,38470,46.0755,-0.0319
79215001,46.6605,-0.401833,44916,46.6671,-0.4127
79220001,46.223,-0.641167,40365,46.2289,-0.6316
79220002,46.231,-0.668667,40364,46.2273,-0.664
79225001,46.549833,-0.188,43437,46.5426,-0.1715
79239001,46.651,-0.356667,44666,46.6476,-0.3452
79253001,46.492167,-0.256667,42957,46.4935,-0.2652
79253002,46.459333,-0.204,42488,46.4514,-0.1959
79270001,46.413333,-0.21,42023,46.4051,-0.2243
79270003,46.417,-0.210333,42023,46.4051,-0.2243
79274001,47.013333,-0.115,48822,47.018,-0.1161
79298001,46.263333,-0.49,40613,46.2574,-0.5041
79309001,46.617167,-0.571167,44409,46.6148,-0.5717
79311002,46.605333,-0.4385,44164,46.5983,-0.4389
79319001,46.339833,-0.166167,41337,46.3407,-0.1532
79320001,46.466333,-0.454,42714,46.4623,-0.4585
79320002,46.459667,-0.460333,42714,46.4623,-0.4585
79326001,46.72,-0.026667,45433,46.729,-0.0243
79326002,46.705167,-0.066,45179,46.7052,-0.055
79326004,46.725333,-0.020333,45433,46.729,-0.0243
79329001,46.989167,-0.207,48552,46.9913,-0.2128
79340001,46.55,-0.139,43438,46.544,-0.1389
79342001,46.600333,-0.524333,44161,46.5939,-0.5368
79342002,46.633333,-0.525,44660,46.6387,-0.5412
79350001,46.148833,-0.399667,39401,46.1497,-0.3961
79350003,46.135,-0.401667,39165,46.1272,-0.394
80001001,50.136,1.834,85639,50.1404,1.8248
80001002,50.106667,1.835,85480,50.0955,1.8275
80001003,50.103333,1.835,85480,50.0955,1.8275
80010001,49.757667,2.370167,83699,49.7483,2.3688
8001001,49.500833,4.339167,81743,49.5022,4.3507
80016001,49.9945,2.648833,85072,50.0001,2.6361
80021001,49.883333,2.316667,84538,49.8821,2.3276
80021002,49.893333,2.293333,84659,49.9038,2.2917
80039001,50.1,1.446667,85551,50.1081,1.4417
80039002,50.1,1.446667,85551,50.1081,1.4417
80041001,49.883667,1.9295,84527,49.8738,1.9449
80062001,49.843333,1.78,84397,49.8473,1.7723
80086001,50.133333,2.183333,85572,50.1259,2.1757
80086002,50.139333,2.1805,85649,50.1483,2.1746
80136001,49.943833,2.718833,84787,49.9341,2.7086
80148001,50.0245,1.568333,85215,50.0213,1.5523
80182001,50.183333,1.516667,85783,50.1772,1.5073
80182002,50.2155,1.566167,85861,50.2015,1.5758
80182003,50.187167,1.521167,85783,50.1772,1.5073
80186001,49.816667,2.8,84161,49.8231,2.7827
80211002,49.7335,2.1505,83693,49.744,2.1606
80213001,49.8205,2.391667,84150,49.8162,2.4004
80222001,50.253333,1.881667,86014,50.2541,1.8884
80229001,49.962,2.108833,84969,49.9674,2.1141
80241002,50.068667,2.131167,85405,50.0803,2.1431
80248001,50.301,1.9205,86160,50.2997,1.9209
80249001,50.113333,2.047167,85568,50.1228,2.0359
8025001,49.475,4.575,81553,49.4803,4.5582
80253002,50.147667,2.3485,85654,50.1519,2.3495
8026001,49.778333,4.446667,83759,49.7718,4.4526
80261001,49.873667,2.272167,84536,49.8807,2.258
80271002,50.001167,3.1215,85086,50.0077,3.1245
80274001,49.742333,3.057667,83559,49.7376,3.0639
80290001,50.258667,1.9255,86015,50.2549,1.9234
80303001,50.2405,1.678833,86008,50.249,1.6781
80308001,50.061167,1.604333,85390,50.0679,1.6193
80318001,50.011667,2.086667,85143,50.0115,2.0769
80331001,50.203333,1.825,85866,50.2076,1.8209
80333001,50.333333,1.55,86277,50.3359,1.5673
80379002,49.872,2.3825,84540,49.8835,2.3972
8038001,49.473333,4.243333,81544,49.4793,4.2473
80390001,49.687833,2.473167,83222,49.683,2.476
80396001,50.234,2.011167,85944,50.2341,1.9948
80406001,49.994,1.879,85050,49.9843,1.8689
80410001,49.756167,3.064667,83719,49.76,3.0632
80417001,49.851833,2.665167,84294,49.8438,2.6775
80421001,49.768333,2.791667,83868,49.7782,2.7845
80430001,49.923333,2.8395,84675,49.9139,2.8488
80431001,50.032833,2.408667,85240,50.0411,2.4247
80443002,49.826667,1.863333,84271,49.8274,1.8778
80455001,49.765,1.958333,83844,49.7617,1.9511
8046001,49.571667,4.129167,82261,49.5686,4.1425
80481001,49.835833,2.769167,84297,49.8455,2.7818
8052002,49.38,5.011667,80679,49.3906,5.0069
80523001,49.971833,2.703833,84986,49.9789,2.7068
80554001,49.8875,2.017333,84651,49.8979,2.0132
80555001,49.851667,3.045,84305,49.8498,3.0601
80557001,49.874833,3.031167,84433,49.8717,3.0245
80573001,49.776,1.819,83990,49.7809,1.811
80598001,50.2075,1.785667,85865,50.2068,1.7859
80600001,50.178667,1.705333,85789,50.1826,1.7172
80606001,49.955,1.768333,84959,49.9594,1.7656
80606002,49.956833,1.77,84959,49.9594,1.7656
80611001,49.766667,2.3,83854,49.7693,2.2983
80618001,50.158333,1.585,85709,50.1567,1.5787
80628001,49.754333,2.5545,83704,49.7516,2.5424
80630001,49.778333,1.980167,83995,49.785,1.9846
80682001,49.765167,2.698333,83708,49.7541,2.6812
80685001,49.691667,2.783333,83231,49.6885,2.788
80685002,49.691667,2.783333,83231,49.6885,2.788
80688001,50.269833,1.663667,86081,50.2714,1.6767
80704001,49.963833,2.408667,84977,49.9732,2.393
80713001,50.285667,1.582333,86150,50.2911,1.5701
80714001,50.07,1.455,85385,50.0633,1.4447
80746001,50.028333,2.322,85237,50.0391,2.32
80749001,50.106167,2.378667,85496,50.1077,2.3866
80767001,49.969167,1.675833,85044,49.9792,1.6597
80775001,50.076667,1.625,85390,50.0679,1.6193
80780001,50.114167,1.547167,85554,50.1109,1.5466
80781001,49.834167,2.711,84295,49.8444,2.7123
80801001,49.877167,2.897667,84429,49.8696,2.8854
80802001,49.9815,3.120333,84998,49.9853,3.1253
80815001,50.308333,1.751667,86222,50.3179,1.7441
80815002,50.3105,1.7625,86223,50.3188,1.7792
80819001,50.033333,2.251667,85235,50.0377,2.2502
80820001,50.008333,2.521667,85069,49.9983,2.5314
8089002,49.421667,4.983333,80909,49.4131,4.9725
8089003,49.427333,4.9645,81135,49.4356,4.9726
8092001,49.346833,4.465167,80190,49.3454,4.4554
8100001,49.842,4.3315,84206,49.8388,4.3478
81003001,43.886667,2.461667,12442,43.8826,2.4621
81003002,43.885667,2.465667,12442,43.8826,2.4621
81004001,43.928333,2.141667,13004,43.9205,2.1485
81004002,43.951667,2.143333,13291,43.9429,2.1475
81004003,43.918333,2.1,13002,43.9189,2.0862
81006001,43.598333,1.868333,9007,43.5983,1.8531
8101002,49.766667,5.041667,83616,49.7496,5.0431
81014001,43.556833,2.561667,8185,43.5478,2.5687
81014002,43.583333,2.583333,8749,43.5933,2.598
81014003,43.563333,2.56,8465,43.5702,2.5679
81016001,43.401667,2.225,6596,43.4056,2.2341
81018001,43.955,2.208333,13293,43.9444,2.2099
81020001,43.865,2.0405,12428,43.8725,2.026
