NUM_POSTE_obs,lat_obs,lon_obs,NUM_POSTE_mod,lat_mod,lon_mod
27219001,49.189167,0.8785,79128,49.1929,0.882
2722002,49.390667,3.310667,80630,49.3818,3.3173
27226001,49.307167,1.619333,80108,49.3047,1.6317
27229003,49.023333,1.145833,77069,49.021,1.1349
27283001,48.9625,0.625,76459,48.9595,0.6256
27306001,48.977,1.181667,76475,48.9772,1.1723
2734001,49.312667,3.044,79911,49.3108,3.0438
27347001,49.025,1.221667,77072,49.0241,1.2376
27367001,49.233,0.524667,79599,49.2262,0.5353
27375001,49.204167,1.187167,79137,49.2025,1.1909
27377001,49.3995,1.477167,81034,49.3907,1.4884
2738001,49.663833,3.320667,83082,49.6735,3.3089
27390001,48.8325,1.218667,74179,48.8212,1.2172
27398001,49.104167,0.604333,78129,49.0941,0.6148
27422001,49.224167,1.2805,79381,49.228,1.2924
27428002,49.147667,0.909167,78643,49.1492,0.9197
27444001,49.005,0.771667,77058,49.009,0.7588
27446001,49.055167,0.959,77617,49.0606,0.9606
27448001,49.027333,1.3715,77076,49.028,1.3744
27457001,48.773,0.9775,73475,48.769,0.982
27467001,49.350333,0.506333,81005,49.3595,0.4898
27500001,49.376,0.731333,81012,49.3678,0.7307
27644001,49.145,1.527167,78412,49.1449,1.5384
27653001,49.179,1.545833,78661,49.1674,1.537
28002001,48.1905,1.846833,63738,48.186,1.8337
28018001,48.199667,0.886667,64422,48.2037,0.8879
2802001,49.659667,3.995167,82935,49.6575,4.0027
28041001,48.3035,1.270667,65873,48.3061,1.286
28048001,48.315,1.427667,65877,48.31,1.421
28051001,48.178333,1.382,63725,48.1743,1.396
28051002,48.205167,1.417333,64081,48.1977,1.4282
28061001,48.205167,1.188833,64431,48.2133,1.191
28064001,48.8015,1.493167,73836,48.8065,1.4913
28064002,48.8015,1.493167,73836,48.8065,1.4913
28070001,48.4605,1.501167,68418,48.4699,1.5125
28078001,48.112,0.905833,63005,48.1139,0.8945
28094001,48.662833,1.489667,71666,48.6719,1.4998
28134003,48.755,1.366667,73134,48.7578,1.358
2814001,49.9215,3.673833,84699,49.9243,3.6849
28168001,48.525833,1.692333,69139,48.5193,1.6791
28190001,48.091333,1.666167,62334,48.0919,1.6706
28190002,48.092833,1.6675,62334,48.0919,1.6706
28195001,48.566167,1.620833,69862,48.5624,1.6086
28196001,48.302333,1.249333,65872,48.3051,1.2523
28196003,48.2835,1.253167,65511,48.2826,1.2538
28198001,48.061333,1.376333,61984,48.0611,1.3696
28206001,48.706833,1.173167,72399,48.707,1.1569
28214003,48.481,1.013333,68760,48.4773,1.0032
28215001,48.329333,1.816833,65889,48.3207,1.8261
28239001,48.6535,1.368667,71301,48.6456,1.3654
28239002,48.652667,1.371833,71301,48.6456,1.3654
28252001,48.253333,0.989,65143,48.2518,0.9856
28252002,48.253,0.99,65143,48.2518,0.9856
28280001,48.318667,0.797833,66223,48.3136,0.8121
28280002,48.328667,0.800167,66591,48.3361,0.8104
28300001,48.175,1.896667,63385,48.1652,1.9023
28300002,48.1735,1.8945,63385,48.1652,1.9023
28305001,48.181333,1.4675,63727,48.1762,1.4633
28322001,48.712167,0.959333,72393,48.7006,0.953
28322003,48.713,0.971,72764,48.7241,0.9853
28350001,48.431167,1.335167,68056,48.4427,1.3447
28363001,48.403833,1.903167,67361,48.4122,1.8887
28373002,48.558,1.012167,70209,48.5671,0.9967
28380001,48.406667,1.56,67351,48.4035,1.5505
28380003,48.406333,1.555167,67351,48.4035,1.5505
28385001,48.406333,1.1345,67695,48.4142,1.1433
28386001,48.544167,1.302833,69853,48.5539,1.3034
28406001,48.196167,1.679833,64088,48.2042,1.664
28406002,48.213667,1.675167,64088,48.2042,1.664
28407001,48.257833,0.910167,65141,48.2497,0.9182
28410001,48.038333,1.492833,61651,48.0425,1.5053
29004001,47.929833,-3.701333,63928,47.9407,-3.7031
29018001,48.352667,-3.869,70785,48.3578,-3.8727
29019001,48.383333,-4.483333,72234,48.4015,-4.4929
29021001,48.6765,-4.331,76061,48.6625,-4.3339
29022001,48.274333,-4.606,70410,48.2793,-4.6073
29024003,48.277,-3.525667,68985,48.2701,-3.5187
29040001,48.368,-4.7545,71855,48.3579,-4.7576
29041002,48.066,-3.8255,66085,48.0675,-3.825
29048003,48.105333,-3.976667,66819,48.1023,-3.9661
29058003,47.8545,-3.976167,63211,47.874,-3.9958
29067001,48.519167,-3.596167,73004,48.5135,-3.5915
29075001,48.453833,-4.391167,72980,48.4539,-4.3999
29082001,48.746333,-4.011833,76380,48.7101,-3.9997
29113001,48.6625,-3.692667,75425,48.6651,-3.6842
29120001,48.279333,-4.439333,70048,48.2702,-4.4357
29122001,48.136,-3.8265,67191,48.1345,-3.8359
29146001,47.8975,-3.812333,63215,47.8888,-3.7959
29151001,48.612,-3.8245,74750,48.6108,-3.8121
29155001,48.459167,-5.130333,74030,48.4641,-5.1183
29155005,48.473333,-5.057,74032,48.4697,-5.0511
29155009,48.473667,-5.056667,74032,48.4697,-5.0511
29156001,48.441,-4.232167,72615,48.4445,-4.2278
29158001,47.7975,-4.374833,62855,47.8238,-4.358
29163003,48.5,-3.8535,72996,48.4943,-3.8611
29168001,48.038833,-4.732,66797,48.0456,-4.701
29170001,47.946,-4.128,64631,47.9533,-4.144
29178001,48.548,-4.664167,74725,48.547,-4.6554
29179001,48.503833,-4.327667,73694,48.5037,-4.3403
29190001,48.33,-4.771667,71855,48.3579,-4.7576
29191002,48.527833,-3.723333,73361,48.5263,-3.73
29196001,48.523333,-4.605,74385,48.5274,-4.6177
29198001,48.593333,-4.302833,75074,48.5981,-4.2885
29208001,48.508333,-4.688833,74035,48.4997,-4.681
29214001,47.915833,-4.3775,64624,47.9354,-4.3773
29216001,47.973,-4.160667,64990,47.9757,-4.1478
29226001,48.092833,-4.415,67174,48.0916,-4.4045
29233003,47.871667,-3.573333,62872,47.8832,-3.5591
29236001,47.879,-3.709167,62868,47.8737,-3.6924
29249002,48.144667,-3.730833,67194,48.1418,-3.7355
29256002,48.2195,-4.261167,68963,48.2161,-4.2565
29263002,48.225833,-4.09,68968,48.2288,-4.0889
29264001,48.532,-4.151833,74051,48.5414,-4.142
29275002,48.433333,-3.679333,71884,48.4394,-3.6818
29276001,48.660333,-4.0775,75744,48.658,-4.0936
29277001,48.391333,-4.0205,71504,48.3926,-4.0146
29278001,48.1735,-3.7295,67550,48.1641,-3.7391
29293001,47.841333,-3.868833,62514,47.8392,-3.8553
30003001,43.537167,4.207,7955,43.5465,4.2113
30007001,44.116667,4.083333,15085,44.1073,4.0803
30009001,43.979,3.444,13621,43.9891,3.4572
30012003,43.885,4.646667,12225,43.8848,4.6442
30015002,44.017667,3.595,13913,44.013,3.5817
30028001,44.166667,4.616667,15967,44.1769,4.612
3003001,46.705667,2.696,44260,46.6981,2.7019
30032001,43.81,4.645,11363,43.8175,4.6443
30034003,43.78,4.48,10787,43.7722,4.4889
3005001,46.359333,2.433667,40703,46.3553,2.4217
30055001,44.131167,4.284833,15382,44.1309,4.2991
3006003,46.163667,3.7355,38586,46.1725,3.7286
30065001,43.981833,4.046,13352,43.9723,4.0508
30068001,44.021,4.079667,13929,44.0174,4.0815
30076001,44.113,4.518667,15099,44.1093,4.5184
30081001,44.143333,4.7,15684,44.1545,4.7061
30081002,44.134833,4.708333,15395,44.132,4.7061
30087002,44.021833,3.825,13921,44.0155,3.8315
30089001,43.85,4.6,11650,43.8399,4.6131
3009001,46.6735,3.1865,44027,46.6835,3.1941
30093003,43.9405,3.9,13060,43.9486,3.8951
30100001,44.0025,4.200333,13645,43.9957,4.2066
30101001,44.071833,4.143667,14509,44.0627,4.1434
30106001,43.991,3.953333,13637,43.9941,3.9568
30123001,43.714833,4.171667,10208,43.726,4.1784
30128001,43.7285,4.343333,10213,43.7267,4.3338
30129001,44.073333,3.977667,14793,44.0842,3.9868
30130001,44.342833,3.9615,18096,44.3535,3.9515
30130002,44.35,3.95,18096,44.3535,3.9515
30132003,44.228333,4.016667,16504,44.2192,4.0162
30132004,44.243,4.010167,16775,44.2416,4.0159
30133001,43.496,4.137167,7410,43.5012,4.1498
30133005,43.487833,4.1405,7144,43.4787,4.1501
30138001,43.803,4.247667,11063,43.7937,4.2399
30140001,44.043333,3.863333,14211,44.0382,3.8624
30151001,44.158333,4.358333,15673,44.1537,4.3616
30151002,44.133333,4.401667,15385,44.1313,4.3931
30151004,44.147667,4.365333,15673,44.1537,4.3616
30154001,44.0195,3.6265,13914,44.0134,3.6129
30164001,44.216333,4.331,16514,44.221,4.3297
30166001,43.861167,4.5255,11934,43.8621,4.5196
30175001,44.268,4.430333,17057,44.2663,4.4235
30176002,43.947,3.58,13050,43.9456,3.5831
30183001,43.930833,4.128167,12781,43.9277,4.1138
30189001,43.856833,4.406333,11930,43.8617,4.395
30189002,43.866,4.302833,11927,43.8614,4.3015
30200002,43.894833,3.852833,12487,43.9034,3.8646
30202001,44.256667,4.643333,17064,44.2668,4.6431
30202002,44.248333,4.627333,16794,44.2443,4.6118
30209002,43.9985,4.759667,13663,43.9973,4.7688
30210001,43.915,4.003333,12491,43.9044,3.9893
30221001,44.046667,4.783333,14240,44.0422,4.7687
30224001,43.931833,4.2405,12785,43.9285,4.2385
30225002,44.134167,4.567167,15391,44.1319,4.5809
30231001,44.156667,3.683333,15651,44.1488,3.6727
30231003,44.137667,3.7505,15364,44.127,3.7357
30243001,44.092167,4.080333,14796,44.0848,4.0806
30258001,43.772833,4.412833,10785,43.772,4.4267
30263001,43.9615,3.835167,13345,43.9706,3.8323
30269002,44.111667,3.881667,15079,44.1059,3.8926
30269006,44.1105,3.872,15078,44.1056,3.8613
30273001,44.277,4.579333,17062,44.2667,4.5804
30276001,43.544667,4.3045,7958,43.5469,4.3042
30283001,44.035833,3.7345,14207,44.0371,3.7374
3029001,46.233333,3.431667,39283,46.2368,3.4348
30297001,44.119333,3.4745,15356,44.1243,3.4854
30299001,44.02,4.486667,13942,44.0193,4.4876
30305001,44.1745,4.1525,15952,44.1751,4.1421
30325001,43.9755,3.715667,13341,43.9694,3.7075
30325002,43.976333,3.709667,13341,43.9694,3.7075
30331001,44.123167,4.6,15392,44.1319,4.6122
30332001,44.077833,3.389333,14774,44.0782,3.3926
30334001,44.005,4.42,13652,43.9966,4.4252
30334003,43.9925,4.401833,13651,43.9965,4.394
30339001,44.121333,3.5815,15359,44.1253,3.5793
30339006,44.081333,3.6345,14782,44.0811,3.6428
30341001,43.71,4.266667,9929,43.704,4.2718
30341003,43.665,4.303333,9367,43.6592,4.3033
30347001,43.746833,4.2595,10495,43.7489,4.2714
30349001,43.870833,4.072167,11920,43.8602,4.0834
30350001,43.99,3.6115,13626,43.9909,3.6134
30352002,43.795167,4.090833,11058,43.7928,4.0843
3036002,46.58,3.0495,42821,46.5687,3.034
3036003,46.568167,3.091833,42823,46.5697,3.0994
3043001,46.187167,3.267667,38809,46.1898,3.2735
3046001,46.4535,3.004833,41665,46.4558,3.005
3048005,46.598333,2.776667,43287,46.6093,2.7708
3048006,46.6185,2.8085,43288,46.6099,2.8035
3053003,46.2315,3.155333,39274,46.233,3.1423
3059001,46.275833,3.225667,39751,46.2793,3.2385
3060001,46.166667,3.398667,38576,46.169,3.404
3061001,46.0635,3.233667,37336,46.0545,3.2449
3066003,46.1155,3.683,37847,46.1048,3.6975
3073001,46.488333,3.315833,41903,46.4829,3.3307
3074001,46.630667,3.549167,43311,46.6205,3.5561
3082003,46.295,2.746667,39978,46.2941,2.7499
3083002,46.3535,3.292333,40486,46.3476,3.3017
3084001,46.473333,2.828333,41888,46.4756,2.8411
3084004,46.462333,2.840333,41660,46.4531,2.8419
3087001,46.679833,2.853333,44017,46.6784,2.8665
3100001,46.541667,3.706667,42375,46.5322,3.7215
31011001,42.9965,0.908833,3527,43.0064,0.8999
31024002,43.387667,1.522667,6573,43.3866,1.5237
3103001,46.3555,3.782667,40501,46.3529,3.7902
31035001,43.528833,1.503667,8151,43.5212,1.5161
