NUM_POSTE,lat,lon,altitude
11075001,43.404667,2.494333,650
11076001,43.305333,1.949167,160
11076002,43.316667,1.953333,170
11081001,43.345333,2.525167,302
11081003,43.334333,2.481,371
11092001,43.384333,2.5405,431
11094001,43.045,2.421667,400
11099001,43.279667,2.399167,120
11103001,42.943333,2.256667,222
11106001,43.238,3.06,6
11110001,43.048333,2.743667,185
11111001,43.193333,2.813333,40
11113001,42.848333,2.6,299
11115001,43.351167,2.272167,499
11122001,43.188333,2.596667,79
11124001,42.995,2.816667,120
11124003,42.993333,2.819167,120
11127001,42.738333,2.123333,950
11136001,43.202,2.07,182
11140001,43.147167,2.7325,65
11144001,42.894667,2.995833,9
11145001,43.183333,3.183333,5
11145002,43.232667,3.138167,19
11149001,43.23,1.936667,370
1115001,46.253333,5.06,200
11151001,43.186667,2.453333,136
11155001,42.927333,2.429833,643
11159002,43.182833,1.895833,302
11163001,42.761667,2.323333,500
11167001,43.143333,2.108333,222
11168001,42.909167,2.2505,420
11169001,43.078333,2.38,290
11176001,43.04,2.728333,272
11177001,42.8265,2.0865,600
11179001,43.075,2.471667,206
11180001,43.401667,2.408333,718
1118001,45.968333,5.808333,330
11181001,43.39,2.003333,320
11181002,43.3895,2.022167,408
11185001,43.0915,2.621833,130
11189001,43.441667,2.260333,830
11191001,42.956667,2.561667,460
11198001,43.268667,2.518167,80
11200001,43.403333,2.538333,450
11200003,43.401667,2.538333,520
11202001,42.917333,3.059667,42
11203001,43.236667,2.758333,56
11203004,43.173,2.728833,60
11206001,43.0475,2.216167,260
11206003,43.046,2.201167,230
11221001,43.408333,2.298333,770
11221004,43.4085,2.292333,760
11222001,43.371667,2.363333,440
11225001,43.316667,1.886667,178
11230001,42.786667,1.978333,920
11242001,43.135833,2.248,220
11243001,43.3535,1.821667,190
11253001,43.312667,2.2405,280
11257001,43.156667,2.461667,157
11260002,42.9595,2.529,538
11262001,43.183333,3.013333,13
11262002,43.179167,3.019167,5
11262005,43.150333,2.955833,110
11266001,43.0145,3.0525,0
11271001,42.957333,2.6615,364
1128001,46.451667,5.103333,220
11283001,43.26,1.813333,250
11295001,43.041,2.9435,29
11296001,43.288333,2.828333,80
11297001,43.424333,2.463,1200
11298001,43.145,2.515,200
11301001,43.226667,2.631667,57
11303001,42.883333,2.045,610
11304001,42.873333,2.181667,282
11312001,43.181667,1.896667,300
11315001,43.281667,2.585,125
11321003,42.745167,2.193,1017
11326001,42.881667,2.553333,353
11327001,43.1745,2.283167,165
11329001,42.938333,2.148333,310
11332001,43.111667,2.835,67
11333001,43.004,2.0455,601
11352001,42.850333,2.3405,684
11367001,43.393333,2.165,630
11371001,43.295333,1.783667,210
11380001,43.003333,1.99,365
11381001,42.9,2.355,400
11386001,43.051667,2.663333,130
11388001,43.000667,2.563167,330
11401001,42.888333,2.723333,160
11404001,43.264833,2.302333,123
11409001,43.005,2.523333,240
11412001,43.014833,2.4005,593
11420001,43.05,2.333333,300
11420002,43.066667,2.32,200
11427001,43.053333,2.094167,320
1143001,46.376667,6.156667,488
1143002,46.3415,6.139667,467
11435001,43.008333,2.626667,320
11439001,43.321667,2.095,180
1157001,46.02,4.76,220
1160001,46.255,6.108333,435
1173001,46.34,6.063167,612
1174001,46.23,5.7725,1015
1175001,46.418333,4.938333,195
1176001,46.035,5.671667,810
1184001,46.1545,5.404,458
1185001,45.966667,5.6,820
1185005,45.978333,5.596667,800
1185006,45.979667,5.598167,805
1187001,46.0365,5.699833,1048
1190001,45.7825,5.572833,880
1192001,46.225,5.541667,430
1200001,46.095,5.483333,596
1200002,46.09,5.482,596
12005001,44.756,2.868167,1107
12006001,44.131667,2.681667,815
12010001,44.318333,2.8,761
12011001,44.167667,2.618833,733
12014001,44.5335,3.007667,1076
12021001,44.341333,2.139167,500
12023001,43.951167,2.503,230
12024001,44.387333,2.339167,444
12025001,43.823167,2.7535,500
12025002,43.822333,2.728,410
12026002,44.384167,2.761833,665
12026003,44.383333,2.805,692
12028001,44.59,2.206667,185
